5.30	204.1	-1.20	827.3	70	43.4
4.90	203.0	-1.36	827.0	71	37.8
5.10	203.0	-1.35	827.0	71	28.7
5.40	203.0	-1.25	827.0	71	24.7
5.80	202.4	-1.01	827.0	71	25.3
6.20	201.9	-0.70	827.0	70	30.9
6.10	201.8	-1.43	827.0	72	33.7
6.10	201.8	-2.04	827.0	74	33.5
6.30	201.7	-2.22	827.0	75	35.1
6.30	194.3	-2.10	827.0	74	44.2
6.50	190.7	-2.02	827.6	74	49.0
6.60	189.6	-1.75	827.9	73	46.2
6.70	189.3	-1.28	827.9	72	52.9
6.80	189.9	-0.93	827.9	70	56.7
7.00	190.2	-0.94	828.7	70	54.7
6.90	190.3	-0.67	827.9	70	54.2
6.90	190.3	-0.27	827.9	69	48.5
6.90	190.4	0.11	828.3	68	35.4
6.60	190.5	0.46	828.6	66	36.0
6.30	190.5	0.77	827.9	65	31.4
6.30	190.4	1.15	827.9	63	27.7
6.30	190.5	1.44	827.9	63	27.3
6.20	192.5	1.32	827.9	63	26.0
6.60	193.9	1.50	827.9	62	26.8
6.30	194.0	1.70	827.9	62	22.7
6.00	189.9	1.88	827.3	62	22.9
5.80	180.8	1.86	827.0	63	27.7
5.40	185.0	2.55	827.0	61	21.3
5.10	187.6	2.56	827.0	63	15.8
5.00	180.9	2.99	827.0	62	12.9
4.90	178.8	3.07	826.3	60	11.2
5.20	178.3	3.15	826.0	60	10.8
5.20	177.0	3.51	826.0	58	9.2
5.10	176.5	3.81	826.0	58	12.7
4.90	184.7	4.01	826.0	57	12.5
4.60	188.7	4.12	826.0	56	10.1
4.20	189.5	4.30	826.0	56	7.0
4.10	189.4	4.31	826.0	57	6.6
4.10	188.3	4.42	826.0	57	4.6
3.90	199.1	4.53	826.0	57	2.3
4.00	214.4	4.56	826.0	56	0.9
3.60	226.0	4.44	826.0	58	0.7
3.50	217.1	4.37	826.0	58	1.0
3.50	206.4	4.38	826.6	58	0.9
3.20	213.6	4.15	827.0	59	0.4
3.00	215.1	3.79	827.0	58	0.2
2.50	214.1	3.21	827.0	59	0.1
2.60	207.2	2.81	827.0	60	0.1
3.00	216.0	2.55	827.0	60	0.3
2.20	209.2	2.38	826.0	60	0.7
2.10	203.2	2.23	827.0	61	0.5
2.30	218.8	2.46	827.0	61	0.3
2.40	208.0	2.54	827.0	61	0.4
2.20	213.2	2.43	827.0	62	0.9
2.10	217.4	2.16	827.0	63	1.3
2.00	206.8	2.25	827.0	63	1.6
2.00	221.9	2.18	827.2	63	2.5
1.90	225.7	1.89	827.9	64	4.0
2.00	224.7	1.99	827.9	64	5.2
2.00	229.1	1.95	827.9	64	4.3
2.30	233.7	1.85	827.3	64	2.5
2.20	217.3	1.72	827.0	65	1.2
2.20	196.6	1.71	827.6	64	1.6
2.60	205.4	1.51	827.9	65	1.5
2.30	200.6	1.61	827.9	66	0.7
2.50	211.2	1.47	827.9	66	1.2
3.30	219.2	1.33	827.9	67	2.1
3.60	207.4	1.19	827.9	69	3.7
3.50	186.4	1.03	827.9	69	2.8
3.40	217.4	0.76	827.9	70	2.3
3.50	213.8	0.90	827.9	71	2.0
3.80	164.2	0.82	827.9	71	2.4
3.90	175.2	0.49	827.9	72	6.5
4.10	138.2	0.05	827.9	73	10.0
4.10	117.4	-0.10	827.9	74	7.9
4.50	108.4	-0.21	827.9	74	5.7
4.50	99.7	-0.25	827.9	75	4.8
4.90	98.2	-0.28	827.9	76	4.0
